Input,Result
-5.0,-3.5729601962795394
-4.99,-3.704911509241046
-4.98,-3.8479892557314583
-4.970000000000001,-4.0037335290690015
-4.960000000000001,-4.173926895483301
-4.950000000000001,-4.3607923793175845
-4.940000000000001,-4.567152418629959
-4.9300000000000015,-4.796231392600802
-4.920000000000002,-5.0525241646933345
-4.910000000000002,-5.341308281400275
-4.900000000000002,-5.669908887189227
-4.890000000000002,-6.048006419673095
-4.880000000000003,-6.4889534174226835
-4.870000000000003,-7.011803701084265
-4.860000000000003,-7.6444734986029514
-4.850000000000003,-8.431635876918625
-4.840000000000003,-9.447240244092491
-4.830000000000004,-10.831395903502909
-4.820000000000004,-12.878980245685717
-4.810000000000004,-16.39887158996437
-4.800000000000004,-25.06772432944782
-4.7900000000000045,-1.0
-4.780000000000005,-1.0
-4.770000000000005,-1.0
-4.760000000000005,-1.0
-4.750000000000005,-1.0
-4.7400000000000055,-1.0
-4.730000000000006,-1.0
-4.720000000000006,-1.0
-4.710000000000006,-1.0
-4.700000000000006,-1.0
-4.690000000000007,-1.0
-4.680000000000007,-1.0
-4.670000000000007,-1.0
-4.660000000000007,-1.0
-4.6500000000000075,-1.0
-4.640000000000008,-1.0
-4.630000000000008,-1.0
-4.620000000000008,-1.0
-4.610000000000008,-1.0
-4.6000000000000085,-1.0
-4.590000000000009,-1.0
-4.580000000000009,-24.623377291269335
-4.570000000000009,-16.37252434285542
-4.560000000000009,-12.926092810824562
-4.55000000000001,-10.905540017574353
-4.54000000000001,-9.533943917436485
-4.53000000000001,-5.4455056446363
-4.52000000000001,-5.1691405456279
-4.5100000000000104,-4.919830556635277
-4.500000000000011,-4.693804818640049
-4.490000000000011,-4.487962367413041
-4.480000000000011,-4.299806996392499
-4.470000000000011,-4.1270895022660055
-4.4600000000000115,-3.9679979389537943
-4.450000000000012,-3.821100984885986
-4.440000000000012,-3.6850007709762003
-4.430000000000012,-3.558555893077636
-4.420000000000012,-3.4407809383373658
-4.410000000000013,-3.3308911476572627
-4.400000000000013,-3.228056987767848
-4.390000000000013,-3.131685392314765
-4.380000000000013,-3.0411612593711923
-4.370000000000013,-2.9559972110457005
-4.360000000000014,-2.875733927649487
-4.350000000000014,-2.799963634061189
-4.340000000000014,-2.728341911873345
-4.330000000000014,-2.660539634753047
-4.3200000000000145,-2.5962458991078448
-4.310000000000015,-2.5352443611648163
-4.300000000000015,-2.477261902337032
-4.290000000000015,-2.422096217387531
-4.280000000000015,-2.369561725867232
-4.270000000000016,-2.3194767452624987
-4.260000000000016,-2.271665743529097
-4.250000000000016,-2.2260002221051116
-4.240000000000016,-2.1823410904625793
-4.230000000000016,-2.1405613033382864
-4.220000000000017,-2.1005527188134163
-4.210000000000017,-2.062199557154054
-4.200000000000017,-2.0254183502792733
-4.190000000000017,-1.9901096564942455
-4.1800000000000175,-1.9562022175696943
-4.170000000000018,-1.9236101746211771
-4.160000000000018,-1.8922666373032688
-4.150000000000018,-1.8621034704372161
-4.140000000000018,-1.8330575850171307
-4.1300000000000185,-1.8050802664285694
-4.120000000000019,-1.7781110385331258
-4.110000000000019,-1.7521031782108845
-4.100000000000019,-1.7270126418615448
-4.090000000000019,-1.702789903615453
